大陸,#genre#
CCTV-10 科教,http://live.dfj.sh:8443/s/AUnM-dMYGbsv4iasQczAJE3YlnF-AlqGfYqpEVVFeHi0dexSOsgGSHqwwlxG6clHnrYphh5a55ZGxF5DAiNZEbL9AdUbimG6osVNBJiXz3JYuKDUYrS4ls9N238j-PJMsIrJ0caEEOxk7qheyFMWxESQvKNqPlyo2tWTm_szgVs-aRZs69WOj-hofe65Pov1agKSIxh3db0WF6N6b0Maufoeh57ph5FwrtgdIBgekTmBXijF-iLmzuh2bnn189ASftmcxhaEtLGl7DaCJshdL42Oxmz5aSYjVcqfP7UaU4o98xsGBoFC87I.m3u8
CCTV-11 戏曲,http://live.dfj.sh:8443/s/Aar4xncVA_HE8gDq9cnSua26RV36xzfswlU7IH0AvkoH325hsIr4F82ZuvcSoHaGWSCkFAN3K-bNhuUxBRSlJVYkPvrF5sCtEqND1RhOZYYJ-P-fOOnCVj5PaATxMFSiS39vSVTQPUUIqjQt2eJZ_Ce_T_jb3WqQcPhPrYENUQmn88tx4oL_1sEkwj2du30dZavNulGq4Dtv_4muWP1HZSQOPG-uAZaLtVbCDvINZ8awUr3u2s8U1cLV8IVAnJuzI03dgBCy7b5aVT0XjLFkxKT0byHBi4S9u0P2mGR5FGrlYc3l6NqXrro.m3u8
CCTV-12 社会与法,http://live.dfj.sh:8443/s/AVyt3GjWyR6S1RgAyuZFQP4oTmM6FEZYkp_VCgtQofyY5H4VPHN6Vsk2FZ4HR7vLgeCvNKfWJBDIz7MMDmBdT2Sf14zczZMrx1oEV5_eIBayTeyMe0a7uuFhrXjZIpARNazp8sSVgAgZ3mkgFXbjSiulo_BHmEYl7IlKPc7dQGn4iF6engSrD6lH4_xkXVpcY3sz3m-WRSvsM8qXu-1CTg8UPKlAQdOIMNaBoa9tUQQs5b4XT18oMxtOHa1ZDDjfLHzynLPoRnsSXswHhahrzn7eiRz_xXJQuwFTDBm4gzl6fsDJrXo1PA4.m3u8
CCTV-13 新闻,http://live.dfj.sh:8443/s/Aew5ospwzp7s2GPnwSYImeiBE6Z825Fr1H2pTHq6oijODI9wlzqmPymU2TYTIHOd9EtV-7KfiC-w6MDwm4L2_3OJuXb3kNW0uAM1Hx9gI0Qzf-9xGdsyUcOIb0bGoRqQd0CGDKNJJhLFdN4x-HfLlFcgdrDd7xtJPswIuC_HhVe10v7kdHQlQT4H3R2C9gchQPrCi6eoI8G5cmQZHCy_-vBtUZhOt-nymJgh8vi77EY_xVMlgRB9BXwo1y6hzsRcLap32t4SySU24FnmSz3S37G5EWSSXKp8zXVeewXIR5rSqp-4W-5m5rvq-Q.m3u8
CCTV-14 少儿,http://live.dfj.sh:8443/s/AbjtmLBkBSIpDmVl1hmMJuq4xNtdggRWH8TLFmg36Ww4LTqIpFBGpLBu5Cpzg37p6G8v3T4469PZ9X4nhfp7fCZ_UuaTSgCrSL_VhR5ew4hyNbiswIJZeyLWBOkgRkPrmOTFXgyQ1A5L9O9-yzoW_PigpNkYf23kAPCIfyl09WugrUCuHg3J_cMIRv861yi2UgP8h_TL39LfyA2S-jKwSJ0T3im0DucrKUk29WR6txGZP8RXlJMSk-Cld8XPEvzdD_7oXfV8nFGgYavHgwKN9224UHIHGVhih52T76qHqTTH9RCcZEbop_c.m3u8
CCTV-15 音乐,http://live.dfj.sh:8443/s/ASWfugDOh7pRowCYW3ZsK8RuiNQsURwWrXeLvAy-oLN2B2zXY49iQszxiWVMuQamSeKmbWLEHPzBJ3LPt0nNLT0gjejZYFA7qLvzaJwZJ_e5lM6aDSF89ZEZ7CqbVzcVAykhcG0lsQzlRDiyMVD_CltzNLBh2ZMmVM4apJhxSfvwErhsSFO54jMhl4-lNzmLZKd7Qh-2OkGqxIx8ZDEcoQO5orJowZPL3-tP3jrV7asr7Tkp6akBjGFlKTitMUa_doOyGu2ZpZF8_pnUrNXNownJmB1RIRKmXlK96VeHxVOQJrjF_GUi83o.m3u8
CCTV-16奥林匹克.4K,http://live.dfj.sh:8443/s/AXaJQCYCGbpABrKke5AJbAtp5NY50li6juOicdi0afsdr3RQsLT_mXhbcCHcq6QhZhCECogp64UCexexIOFOuT06fcJXSiLRHSVodWfDV9BXacSkN8m8tq3_Ol7zNyPTMhLttVL8FJ8UzgBh9mnp7exsSTjqwizeZYZ25pihdoDhwmuEyULNRlmUWN1R4nP2Wj9gS5G8Vu4y_XwGzntOPWIBxA9exBjNDGuuFGSC664vIn8uWhz0ktcQhidZa8AVIKUVKCZ6M0bU-MSmxAUvbck4VLdbDtdi0XQxeo-bjPO_WLrnsWZS7ZA.m3u8
CCTV17农业,http://live.dfj.sh:8443/s/AfawYTOgY4jdCm0mb_7iKOcgDI02Z5hUyFeMMwysoEMBQcuFttIaTVwhso6wyqIsivN5oTWU8Xbv9841KAXmt8ZHalGs51zI_Kd4jgy1LnSRGarYeRQLe_KpWRF0RWjIWAbOLBcTIJEogWwf8rqj9DajWEjX--8iNP63suThV1bpszBvgaIkukQMD7RJaooow3nbxs22LJiHy-_jQT5vP6WwndCuYRBzbmEMe0vkeqbBMNsAiRgWdvaqif-pWu4cFS8ZSW9gNlELulF69jgaqiiHqQXm8zvtqGV7bKapRxKcnyvSJx4BIno.m3u8
CCTV老故事,http://live.dfj.sh:8443/s/AdXoJld-Y5VcOAR7hqQUIYGDz7vQykB--0GKTQBKHfqJ-sa9dMzXu4jdd5wW8ndsKDEkNstiUpQe0h1-Jc82h9eks5ldvf4SwKdVPWnyTtanDmuvUmRlJTxOOuV046V52h3UhklsPX4uNnqXayr5S7Jwypfy5rd05Nf7VLY1fwTcgDXhQ6zS16UEEgt2RErxjZo2C39QWPrUcXthbOfLhNLXnf2Rs2dqgqANSuEVN2_z8svzYsCfhESFajs1is9uevqgtAYFVopVFQD7m8GeZAx4jmjIsd4xKee37S65kb0pF0MhrD0x_cLkfza6wyE.m3u8
CCTV风云足球,http://live.dfj.sh:8443/s/AX4OBNnBVKP0yVrS1davVRfjg8IEDaGALUXNMKPhP0tkgrGtH6sdAuk_uqt4dr78V870RAHsg8XsgVi2bU4zRzzqhGIx3yx3tKxJplVWocYWHbstZKf22gKJYNJjhQ0GgJ8CnAzHE-lUljxesyPOMes0DqA_w4wBN1xC_-2f9wKh6u5h_W5gADfYYB_j_sxIZkmOP4U7i1U8uPaWm3tGFmuptzfrSRNlARgjSMzmSaYfbl2eEs-JdWA4b-KJA-fLl-vzr3TXudU-E3BlpAbW0mSy9OE5j5M6-hUgtcaFOKv5ZDp-ORf2WFCsYA.m3u8
